,id,intnum,floatnum,plus(+),minus(-),mult(*),div(/),semi(;),comma,dot(.),eq(==),returntype(=>),assign(=),lt(<),leq(<=),noteq(<>),gt(>),geq(>=),colon(:),scopeop(::),openpar((),closepar()),opencubr({),closecubr(}),opensqbr([),closesqbr(]),and,or,not,integer,float,void,class,self,isa,while,if,then,else,read,write,return,localvar,constructor,attribute,function,public,private,$
statement,statement_A,scan,scan,scan,scan,scan,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,statement_C,statement_B,scan,pop,statement_D,statement_E,statement_F,pop,scan,scan,scan,scan,scan,pop
addOp,pop,pop,pop,addOp_A,addOp_B,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,scan,scan,scan,scan,addOp_C,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
returnType,returnType_A,scan,scan,scan,scan,scan,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,scan,scan,scan,scan,returnType_A,returnType_A,returnType_B,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
idnestFollowing,scan,scan,scan,idnestFollowing_A,idnestFollowing_A,idnestFollowing_A,idnestFollowing_A,idnestFollowing_A,idnestFollowing_A,idnestFollowing_A,idnestFollowing_A,scan,idnestFollowing_A,idnestFollowing_A,idnestFollowing_A,idnestFollowing_A,idnestFollowing_A,idnestFollowing_A,scan,scan,idnestFollowing_B,idnestFollowing_A,scan,scan,idnestFollowing_A,idnestFollowing_A,idnestFollowing_A,idnestFollowing_A,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
multiClassDeclOrFuncDef,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,multiClassDeclOrFuncDef_A,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,multiClassDeclOrFuncDef_A,scan,scan,multiClassDeclOrFuncDef_B
localVarDecl,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop,pop,scan,scan,pop,pop,pop,localVarDecl_A,scan,scan,scan,scan,scan,pop
visibility,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,visibility_C,visibility_C,visibility_C,visibility_A,visibility_B,pop
START,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,START_A,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,START_A,scan,scan,START_A
funcHead,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,funcHead_A,scan,scan,pop
funcDef,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,funcDef_A,scan,scan,pop
aParamsTail,scan,scan,scan,scan,scan,scan,scan,scan,aParamsTail_A,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
memberFuncDecl,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,memberFuncDecl_B,pop,memberFuncDecl_A,pop,pop,pop
